dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks,autograd_captures,autograd_compiles,cudagraph_skips,compilation_latency,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,gmixer_24_224,8,pass,583,1,5,4,0,0,0,32.191221,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,convnextv2_nano.fcmae_ft_in22k_in1k,8,pass,289,1,5,4,0,0,0,25.216457,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,eca_botnext26ts_256,8,pass,307,1,5,4,0,0,0,35.658365,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,gmlp_s16_224,8,pass,457,1,5,4,0,0,0,35.123532,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,tinynet_a,8,pass,342,1,5,4,0,0,0,48.108823,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,crossvit_9_240,8,pass,487,1,5,4,0,0,0,37.006981,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,adv_inception_v3,8,pass,408,1,5,4,0,0,0,64.522052,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,poolformer_m36,8,pass,550,1,5,4,0,0,0,89.320324,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,rexnet_100,8,pass,332,1,5,4,0,0,0,65.787279,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,beit_base_patch16_224,8,pass,371,1,5,4,0,0,0,22.764151,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,eca_halonext26ts,8,pass,333,1,5,4,0,0,0,43.533207,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,tnt_s_patch16_224,8,pass,787,1,5,4,0,0,0,49.464613,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mixnet_l,8,pass,579,1,5,4,0,0,0,69.916393,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,regnety_002,8,pass,267,1,5,4,0,0,0,27.763568,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,cspdarknet53,8,pass,320,1,5,4,0,0,0,41.659152,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,deit_base_distilled_patch16_224,8,pass,267,1,5,4,0,0,0,20.363480,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,botnet26t_256,8,pass,272,1,5,4,0,0,0,32.774830,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,ese_vovnet19b_dw,8,pass,134,2,5,4,0,0,0,26.837980,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,repvgg_a2,8,pass,231,1,5,4,0,0,0,28.213489,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,sebotnet33ts_256,8,pass,384,2,5,4,0,0,0,44.085491,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,deit_tiny_patch16_224.fb_in1k,8,pass,263,1,5,4,0,0,0,18.918861,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,twins_pcpvt_base,8,pass,851,1,5,4,0,0,0,58.264203,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mnasnet_100,8,pass,205,2,5,4,0,0,0,33.754343,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,selecsls42b,8,pass,174,1,5,4,0,0,0,24.275092,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,visformer_small,8,pass,319,1,5,4,0,0,0,24.816101,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,fbnetc_100,8,pass,258,2,5,4,0,0,0,40.024943,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mobilenetv2_100,8,pass,204,1,5,4,0,0,0,35.795982,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,hrnet_w18,8,pass,1471,1,5,4,0,0,0,170.530807,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,dla102,8,pass,485,1,5,4,0,0,0,53.673025,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,vit_base_patch14_dinov2.lvd142m,8,pass,286,1,5,4,0,0,0,20.809070,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,inception_v3,8,pass,408,1,5,4,0,0,0,6.708108,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,vit_base_patch16_224,8,pass,263,1,5,4,0,0,0,20.564877,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,spnasnet_100,8,pass,252,1,5,4,0,0,0,39.973513,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,cait_m36_384,8,pass,1255,1,5,4,0,0,0,70.987949,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,res2net101_26w_4s,8,pass,973,1,5,4,0,0,0,99.234287,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,jx_nest_base,8,fail_to_run,737,1,5,4,0,0,0,34.358067,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,vit_base_patch16_siglip_256,8,pass,283,1,5,4,0,0,0,24.626776,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,dm_nfnet_f0,8,pass,595,1,5,4,0,0,0,38.967391,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mobilenetv3_large_100,8,pass,232,1,5,4,0,0,0,40.516432,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,fbnetv3_b,8,pass,455,1,5,4,0,0,0,64.451526,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,lcnet_050,8,pass,125,1,5,4,0,0,0,25.267278,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,swin_base_patch4_window7_224,8,pass,1465,1,5,4,0,0,0,61.825703,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,coat_lite_mini,8,pass,460,1,5,4,0,0,0,38.246022,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,volo_d1_224,8,pass,508,1,5,4,0,0,0,42.185998,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,gernet_l,8,pass,246,1,5,4,0,0,0,29.539928,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,convit_base,8,pass,1142,3,6,4,0,0,0,20.630920,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,xcit_large_24_p8_224,8,pass_due_to_skip,1141,2,5,4,0,0,0,26.634921,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mobilevit_s,8,pass,359,2,5,4,0,0,0,57.740588,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,levit_128,8,pass,616,1,5,4,0,0,0,47.091250,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,convmixer_768_32,8,fail_accuracy,296,1,5,4,0,0,0,33.042088,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,swsl_resnext101_32x16d,8,pass,449,1,5,4,0,0,0,50.867127,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,mixer_b16_224,8,pass,199,1,5,4,0,0,0,17.634827,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,res2net50_14w_8s,8,pass,848,1,5,4,0,0,0,89.187529,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,nfnet_l0,8,pass,521,1,5,4,0,0,0,33.440965,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,convnext_base,8,pass,455,1,5,4,0,0,0,40.519687,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,dpn107,8,pass,630,1,5,4,0,0,0,79.545665,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,ghostnet_100,8,pass,401,1,5,4,0,0,0,67.416604,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,pit_b_224,8,pass,306,1,5,4,0,0,0,25.001485,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,tf_efficientnet_b0,8,pass,298,1,5,4,0,0,0,43.816913,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,gluon_inception_v3,8,pass,408,1,5,4,0,0,0,6.557939,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,res2next50,8,pass,480,1,5,4,0,0,0,54.810693,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,resmlp_12_224,8,pass,175,1,5,4,0,0,0,14.765512,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,tf_mixnet_l,8,pass,609,1,5,4,0,0,0,68.268998,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,resnest101e,8,pass,1024,1,5,4,0,0,0,90.699741,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
xpu,pnasnet5large,8,pass,1197,1,5,4,0,0,0,169.545289,inductor_timm_models_bfloat16_training_xpu_accuracy.csv
